"teams","seed","year","playoffwins","season","allstar","playoffpct"
"Los Angeles Lakers",7,2006,3,0.549,0.633333333333333,0.428571428571429
"Memphis Grizzlies",5,2006,0,0.598,0.666666666666667,0
"Miami Heat",2,2006,16,0.634,0.655172413793103,0.695652173913043
"Milwaukee Bucks",8,2006,1,0.488,0.433333333333333,0.2
"New Jersey Nets",3,2006,5,0.598,0.67741935483871,0.454545454545455
"Phoenix Suns",2,2006,10,0.659,0.633333333333333,0.5
"Sacramento Kings",8,2006,2,0.537,0.689655172413793,0.333333333333333
"San Antonio Spurs",1,2006,7,0.768,0.766666666666667,0.538461538461538
"Washington Wizards",5,2006,2,0.512,0.516129032258065,0.333333333333333
"Chicago Bulls",5,2007,6,0.598,0.714285714285714,0.6
"Cleveland Cavaliers",2,2007,12,0.61,0.655172413793103,0.6
"Dallas Mavericks",1,2007,2,0.817,0.793103448275862,0.333333333333333
"Denver Nuggets",6,2007,1,0.549,0.612903225806452,0.2
"Detroit Pistons",1,2007,10,0.646,0.67741935483871,0.625
"Golden State Warriors",8,2007,5,0.512,0.607142857142857,0.454545454545455
"Houston Rockets",5,2007,3,0.634,0.633333333333333,0.428571428571429
"Los Angeles Lakers",7,2007,1,0.512,0.428571428571429,0.2
"Miami Heat",4,2007,0,0.537,0.6,0
"New Jersey Nets",6,2007,6,0.5,0.571428571428571,0.5
"Orlando Magic",8,2007,0,0.488,0.448275862068966,0
"Phoenix Suns",2,2007,6,0.744,0.733333333333333,0.545454545454545
"San Antonio Spurs",3,2007,16,0.707,0.793103448275862,0.8
"Toronto Raptors",3,2007,2,0.573,0.620689655172414,0.333333333333333
"Utah Jazz",4,2007,9,0.622,0.533333333333333,0.529411764705882
"Washington Wizards",7,2007,0,0.5,0.375,0
"Atlanta Hawks",8,2008,3,0.451,0.46875,0.428571428571429
"Boston Celtics",1,2008,16,0.805,0.78125,0.615384615384615
"Cleveland Cavaliers",4,2008,7,0.549,0.533333333333333,0.538461538461538
"Dallas Mavericks",7,2008,1,0.622,0.551724137931034,0.2
"Denver Nuggets",8,2008,0,0.61,0.6,0
"Detroit Pistons",2,2008,10,0.72,0.666666666666667,0.588235294117647
"Houston Rockets",5,2008,2,0.671,0.766666666666667,0.333333333333333
"Los Angeles Lakers",1,2008,14,0.695,0.733333333333333,0.666666666666667
"New Orleans Hornets",2,2008,7,0.683,0.645161290322581,0.583333333333333
"Orlando Magic",3,2008,5,0.634,0.678571428571429,0.5
"Philadelphia 76ers",7,2008,2,0.488,0.586206896551724,0.333333333333333
"Phoenix Suns",6,2008,1,0.671,0.620689655172414,0.2
"San Antonio Spurs",3,2008,9,0.683,0.709677419354839,0.529411764705882
"Toronto Raptors",6,2008,1,0.5,0.419354838709677,0.2
"Utah Jazz",4,2008,6,0.659,0.689655172413793,0.5
"Washington Wizards",5,2008,2,0.524,0.6,0.333333333333333
"Atlanta Hawks",4,2009,4,0.573,0.533333333333333,0.363636363636364
"Boston Celtics",2,2009,7,0.756,0.666666666666667,0.5
"Chicago Bulls",7,2009,3,0.5,0.620689655172414,0.428571428571429
"Cleveland Cavaliers",1,2009,10,0.805,0.838709677419355,0.714285714285714
"Dallas Mavericks",6,2009,5,0.61,0.633333333333333,0.5
"Denver Nuggets",2,2009,10,0.659,0.620689655172414,0.625
"Detroit Pistons",8,2009,0,0.476,0.387096774193548,0
"Houston Rockets",5,2009,7,0.646,0.724137931034483,0.538461538461538
"Los Angeles Lakers",1,2009,16,0.793,0.766666666666667,0.695652173913043
"Miami Heat",5,2009,3,0.524,0.5,0.428571428571429
"New Orleans Hornets",7,2009,1,0.598,0.59375,0.2
"Orlando Magic",3,2009,13,0.72,0.67741935483871,0.541666666666667
"Philadelphia 76ers",7,2009,2,0.5,0.451612903225806,0.333333333333333
"Portland Trail Blazers",4,2009,2,0.659,0.733333333333333,0.333333333333333
"San Antonio Spurs",3,2009,1,0.659,0.612903225806452,0.2
"Utah Jazz",8,2009,1,0.585,0.620689655172414,0.2
"Atlanta Hawks",3,2010,4,0.646,0.645161290322581,0.363636363636364
"Boston Celtics",4,2010,15,0.61,0.5625,0.625
"Charlotte Bobcats",7,2010,0,0.537,0.580645161290323,0
"Chicago Bulls",8,2010,1,0.5,0.516129032258065,0.2
"Cleveland Cavaliers",1,2010,6,0.744,0.642857142857143,0.545454545454545
"Dallas Mavericks",2,2010,2,0.671,0.766666666666667,0.333333333333333
"Denver Nuggets",4,2010,2,0.646,0.620689655172414,0.333333333333333
"Los Angeles Lakers",1,2010,16,0.695,0.571428571428571,0.695652173913043
"Miami Heat",5,2010,1,0.573,0.724137931034483,0.2
"Milwaukee Bucks",6,2010,3,0.561,0.709677419354839,0.428571428571429
"Oklahoma City Thunder",8,2010,2,0.61,0.645161290322581,0.333333333333333
"Orlando Magic",2,2010,10,0.72,0.821428571428571,0.714285714285714
"Phoenix Suns",3,2010,10,0.659,0.793103448275862,0.625
"Portland Trail Blazers",6,2010,2,0.61,0.703703703703704,0.333333333333333
"San Antonio Spurs",7,2010,4,0.61,0.645161290322581,0.4
"Utah Jazz",5,2010,4,0.646,0.67741935483871,0.4
"Atlanta Hawks",5,2011,6,0.537,0.37037037037037,0.5
"Boston Celtics",3,2011,5,0.683,0.571428571428571,0.555555555555556
"Chicago Bulls",1,2011,9,0.756,0.857142857142857,0.5625
"Dallas Mavericks",3,2011,16,0.695,0.653846153846154,0.761904761904762
"Denver Nuggets",5,2011,1,0.61,0.72,0.2
"Indiana Pacers",8,2011,1,0.451,0.464285714285714,0.2
"Los Angeles Lakers",2,2011,4,0.695,0.76,0.4
"Memphis Grizzlies",8,2011,7,0.561,0.6,0.538461538461538
"Miami Heat",2,2011,14,0.707,0.653846153846154,0.666666666666667
"New Orleans Hornets",7,2011,2,0.561,0.541666666666667,0.333333333333333
"New York Knicks",6,2011,0,0.512,0.5,0
"Oklahoma City Thunder",4,2011,9,0.671,0.714285714285714,0.529411764705882
"Orlando Magic",4,2011,2,0.634,0.64,0.333333333333333
"Philadelphia 76ers",7,2011,1,0.5,0.538461538461538,0.2
"Portland Trail Blazers",6,2011,2,0.585,0.615384615384615,0.333333333333333
"San Antonio Spurs",1,2011,2,0.744,0.576923076923077,0.333333333333333
"Atlanta Hawks",5,2012,2,0.606,0.625,0.333333333333333
"Boston Celtics",4,2012,11,0.591,0.705882352941177,0.55
"Chicago Bulls",1,2012,2,0.758,0.741935483870968,0.333333333333333
"Dallas Mavericks",7,2012,0,0.545,0.46875,0
"Denver Nuggets",6,2012,3,0.576,0.645161290322581,0.428571428571429
"Indiana Pacers",3,2012,6,0.636,0.636363636363636,0.545454545454545
"Los Angeles Clippers",5,2012,4,0.606,0.571428571428571,0.363636363636364
"Los Angeles Lakers",3,2012,5,0.621,0.65625,0.416666666666667
"Memphis Grizzlies",4,2012,3,0.621,0.6875,0.428571428571429
"Miami Heat",2,2012,16,0.697,0.59375,0.695652173913043
"New York Knicks",7,2012,1,0.545,0.612903225806452,0.2
"Oklahoma City Thunder",2,2012,13,0.712,0.625,0.65
"Orlando Magic",6,2012,1,0.561,0.483870967741935,0.2
"Philadelphia 76ers",7,2012,7,0.53,0.46875,0.538461538461538
"San Antonio Spurs",1,2012,10,0.758,0.8125,0.714285714285714
"Utah Jazz",8,2012,0,0.545,0.617647058823529,0
"Atlanta Hawks",6,2013,2,0.537,0.483870967741935,0.333333333333333
"Boston Celtics",7,2013,2,0.506,0.448275862068966,0.333333333333333
"Brooklyn Nets",4,2013,3,0.598,0.620689655172414,0.428571428571429
"Chicago Bulls",5,2013,5,0.549,0.5,0.416666666666667
"Denver Nuggets",3,2013,2,0.695,0.857142857142857,0.333333333333333
"Golden State Warriors",6,2013,6,0.573,0.566666666666667,0.5
"Houston Rockets",8,2013,2,0.549,0.592592592592593,0.333333333333333
"Indiana Pacers",3,2013,11,0.605,0.607142857142857,0.578947368421053
"Los Angeles Clippers",4,2013,2,0.683,0.653846153846154,0.333333333333333
"Los Angeles Lakers",7,2013,0,0.549,0.714285714285714,0
"Memphis Grizzlies",5,2013,8,0.683,0.741935483870968,0.533333333333333
"Miami Heat",1,2013,16,0.805,0.9375,0.695652173913043
"Milwaukee Bucks",8,2013,0,0.463,0.387096774193548,0
"New York Knicks",2,2013,6,0.659,0.6875,0.5
"Oklahoma City Thunder",1,2013,5,0.732,0.724137931034483,0.454545454545455
"San Antonio Spurs",2,2013,15,0.707,0.571428571428571,0.714285714285714
"Atlanta Hawks",8,2014,3,0.463,0.419354838709677,0.428571428571429
"Brooklyn Nets",5,2014,5,0.537,0.645161290322581,0.416666666666667
"Charlotte Bobcats",7,2014,0,0.524,0.689655172413793,0
"Chicago Bulls",3,2014,1,0.585,0.7,0.2
"Dallas Mavericks",8,2014,3,0.598,0.607142857142857,0.428571428571429
"Golden State Warriors",6,2014,3,0.622,0.689655172413793,0.428571428571429
"Houston Rockets",4,2014,2,0.659,0.620689655172414,0.333333333333333
"Indiana Pacers",1,2014,10,0.683,0.533333333333333,0.526315789473684
"Los Angeles Clippers",3,2014,6,0.695,0.740740740740741,0.461538461538462
"Memphis Grizzlies",7,2014,3,0.61,0.7,0.428571428571429
"Miami Heat",2,2014,13,0.659,0.548387096774194,0.65
"Oklahoma City Thunder",2,2014,10,0.72,0.592592592592593,0.526315789473684
"Portland Trail Blazers",4,2014,5,0.659,0.620689655172414,0.454545454545455
"San Antonio Spurs",1,2014,16,0.756,0.827586206896552,0.695652173913043
"Toronto Raptors",3,2014,3,0.585,0.666666666666667,0.428571428571429
"Washington Wizards",5,2014,6,0.537,0.633333333333333,0.545454545454545
"Atlanta Hawks",1,2015,8,0.732,0.607142857142857,0.5
"Boston Celtics",7,2015,0,0.488,0.645161290322581,0
"Brooklyn Nets",8,2015,2,0.463,0.566666666666667,0.333333333333333
"Chicago Bulls",3,2015,6,0.61,0.571428571428571,0.5
"Cleveland Cavaliers",2,2015,14,0.646,0.740740740740741,0.7
"Dallas Mavericks",7,2015,1,0.61,0.518518518518518,0.2
"Golden State Warriors",1,2015,16,0.817,0.806451612903226,0.761904761904762
"Houston Rockets",2,2015,9,0.683,0.689655172413793,0.529411764705882
"Los Angeles Clippers",2,2015,7,0.683,0.75,0.5
"Memphis Grizzlies",5,2015,6,0.671,0.551724137931034,0.545454545454545
"Milwaukee Bucks",6,2015,2,0.5,0.379310344827586,0.333333333333333
"New Orleans Pelicans",8,2015,0,0.549,0.620689655172414,0
"Portland Trail Blazers",4,2015,1,0.622,0.517241379310345,0.2
"San Antonio Spurs",5,2015,3,0.671,0.724137931034483,0.428571428571429
"Toronto Raptors",4,2015,0,0.598,0.448275862068966,0
"Washington Wizards",5,2015,6,0.561,0.464285714285714,0.6
"Atlanta Hawks",4,2016,4,0.585,0.62962962962963,0.4
"Boston Celtics",5,2016,2,0.585,0.592592592592593,0.333333333333333
"Charlotte Hornets",6,2016,3,0.585,0.724137931034483,0.428571428571429
"Cleveland Cavaliers",1,2016,16,0.695,0.633333333333333,0.761904761904762
"Dallas Mavericks",6,2016,1,0.512,0.481481481481481,0.2
"Detroit Pistons",8,2016,0,0.537,0.607142857142857,0
"Golden State Warriors",1,2016,15,0.89,0.833333333333333,0.625
"Houston Rockets",8,2016,1,0.5,0.518518518518518,0.2
"Indiana Pacers",7,2016,3,0.549,0.586206896551724,0.428571428571429
"Los Angeles Clippers",4,2016,2,0.646,0.620689655172414,0.333333333333333
"Memphis Grizzlies",7,2016,0,0.512,0.379310344827586,0
"Miami Heat",3,2016,7,0.585,0.655172413793103,0.5
"Oklahoma City Thunder",3,2016,11,0.671,0.535714285714286,0.611111111111111
"Portland Trail Blazers",5,2016,5,0.537,0.607142857142857,0.454545454545455
"San Antonio Spurs",2,2016,6,0.817,0.758620689655172,0.6
"Toronto Raptors",2,2016,10,0.683,0.7,0.5
